Trial Number All	Trial Number Block	Block Number	"Search Type (1 = pop out, 2 = conjunction)"	Target Colour	Distractor Colour	Frequency Colour 1	Frequency Colour 2	Peripheral Stimulus	Number of Targets	Response	Accuracy
1	1	1	1	1	2	1	2	NaN	0	0	0
2	2	1	1	1	2	1	2	NaN	1	0	0
3	3	1	1	1	2	1	2	NaN	2	0	0
4	4	1	1	1	2	2	1	NaN	0	0	0
5	5	1	1	1	2	2	1	NaN	1	0	0
6	6	1	1	1	2	2	1	NaN	2	0	0
1	1	2	1	2	1	1	2	NaN	0	0	0
2	2	2	1	2	1	1	2	NaN	1	0	0
3	3	2	1	2	1	1	2	NaN	2	0	0
4	4	2	1	2	1	2	1	NaN	0	0	0
5	5	2	1	2	1	2	1	NaN	1	0	0
6	6	2	1	2	1	2	1	NaN	2	0	0
1	1	3	2	1	2	1	2	NaN	0	0	0
2	2	3	2	1	2	1	2	NaN	1	0	0
3	3	3	2	1	2	1	2	NaN	2	0	0
4	4	3	2	1	2	2	1	NaN	0	0	0
5	5	3	2	1	2	2	1	NaN	1	0	0
6	6	3	2	1	2	2	1	NaN	2	0	0
1	1	4	2	2	1	1	2	NaN	0	0	0
2	2	4	2	2	1	1	2	NaN	1	0	0
3	3	4	2	2	1	1	2	NaN	2	0	0
4	4	4	2	2	1	2	1	NaN	0	0	0
5	5	4	2	2	1	2	1	NaN	1	0	0
6	6	4	2	2	1	2	1	NaN	2	0	0
